site,genus,sp,subsp,common_name,source
DSNY,,,,eastern indigo snake,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
DSNY,,,,gopher tortoise,http://www.mendeley.com/c/4955268692/g/2058663/the-nature-conservancy-2012-disney-wilderness-preserve---about/
OSBS,Alligator,mississippiensis,,American Alligator,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Chelydra,serpentina,osceola,Florida snapping turtle,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Kinosternon,bauri,palmarum,Striped mud turtle,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Kinosternon,subrubrum,steindachneri,Florida mud turtle,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Sternotherus,odoratus,,Stinkpot,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Deirochelys,reticularia,chrysea,Florida chicken turtle,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pseudemys,floridana,peninsularis,Peninsula cooter,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pseudemys,nelsoni,,Florida redbelly turtle,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Terrapene,carolina,bauri,Florida box turtle,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Gopherus,polyphemus,,Gopher tortoise,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Trionyx,ferox,,Florida softshell,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Anolis,carolinensis,carolinensis,Green anole,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Sceloporus,undulatus,undulatus,Southern fence lizard,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Cnemidophorus,sexlineatus,sexlineatus,Six-lined racerunner,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Eumeces,egregius,onocrepis,Peninsula mole skink,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Eumeces,inexpectatus,,Southeastern five-lined skinks,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Eumeces,laticeps,,Broad-headed skink.,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Scincella,lateralis,,Ground skink,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Ophisaurus,attenuatus,longicaudus,Eastern slender grass lizard,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Ophisaurus,ventralis,,Eastern glass lizard,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Rhineura,floridana,,Florida worm lizard,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Cemophora,coccinea,coccinea,Florida scarlet snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Coluber,constrictor,priapus,Southern black racer,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Diadophis,punctatus,punctatus,Southern ringneck snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Drymarchon,corais,couperi,Eastern indigo snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Elaphe,guttata,guttata,Corn snake or red ratsnake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Elaphe,obsoleta,quadrivittata,Yellow rat snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Farancia,abacura,abacura,Eastern mudsnake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Heterodon,platyrhinos,Latreille,Eastern hognose snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Masticophis,flagellum,flagellum,Eastern coachwhip,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Nerodia,floridana,,Florida green watersnake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Nerodia,fasciata,pictiventris,Florida watersnake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Nerodia,taxispilota,,Brown watersnake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Opheodrys,aestivus,,Rough green snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Pituophis,melanoleucus,mugitus,Florida pine snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Regina,alleni,,Striped crayfish snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Seminatrix,pygaea,pygaea,North florida swamp snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Tantilla,relicta,neilli,Neill's crown snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Thamnophis,sauritus,sackeni,Peninsular ribbon snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Thamnophis,sirtalis,sirtalis,Eastern garter snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Micrurus,fulvius,fulvius,Eastern coral snake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Agkistrodon,piscivorus,conanti,Florida cottonmouth,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Crotalis,adamanteus,,Eastern diamondback rattlesnake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
OSBS,Sistrurus,miliarus,barbouri,Dusky pigmy rattlesnake,http://www.mendeley.com/c/4959343642/g/2058663/annotated-reptile-species-list-of-the-ordway-swisher-biological-station/
JERC,Ambystoma,talpoideum,,mole salamander,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Ambystoma,tigrinum,,tiger salamander,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Apalone,spinifera,,Gulf Coast spiny softshell,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Apalone,ferox,,Florida softshell,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Bufo,terrestris,,Southern toad,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Chelydra,serpentina,,,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
