genus,sp,subsp,common name,common name,state,status,notes
Epioblasma,othcaloogensis,,Southern,Acornshell,Alabama,Endangered,
Elliptoideus,sloatianus,,Purple (mussel),Bankclimber,Alabama,Threatened,
Myotis,grisescens,,gray,Bat,Alabama,Endangered,
Myotis,sodalis,,Indiana,Bat,Alabama,Endangered,
Villosa,trabalis,,Cumberland (pearlymussel),Bean,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Nicrophorus,americanus,,American burying,Beetle,Alabama,Endangered,
Epioblasma,torulosa,torulosa,tubercled (pearlymussel),Blossom,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Epioblasma,turgidula,,turgid(pearlymussel),Blossom,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Epioblasma,florentina,florentina,yellow(pearlymussel),Blossom,Alabama,Endangered, Entire Range; Except where listed as Experimental Populations 
Campeloma,decampi,,slender,Campeloma,Alabama,Endangered,
Speoplatyrhinus,poulsoni,,Alabama,Cavefish,Alabama,Endangered,
Erimonax monachus,Entire ,,spotfin,Chub,Alabama,Threatened,
Pleurobema,clava,,,Clubshell,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations
Pleurobema,curtum,,black,Clubshell,Alabama,Endangered,
Pleurobema,perovatum,,ovate,Clubshell,Alabama,Endangered,
Pleurobema,decisum,,southern,Clubshell,Alabama,Endangered,
Epioblasma,brevidens,,Cumberlandian,Combshell,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations
Epioblasma,penita,,southern,Combshell,Alabama,Endangered,
Epioblasma,metastriata,,upland,Combshell,Alabama,Endangered,
Numenius,borealis,,Eskimo,Curlew,Alabama,Endangered,
Percina,antesella,,amber,Darter,Alabama,Endangered,
Etheostoma,wapiti,,boulder,Darter,Alabama,Endangered,
Percina,aurolineata,,goldline,Darter,Alabama,Threatened,
Etheostoma,phytophilum,,rush,Darter,Alabama,Endangered,
Etheostoma,boschungi,,slackwater,Darter,Alabama,Threatened,
Percina,tanasi,,snail,Darter,Alabama,Threatened,
Etheostoma,chermocki,,vermilion,Darter,Alabama,Endangered,
Etheostoma,nuchale,,watercress,Darter,Alabama,Endangered,
Somatochlora,hineana,,Hine's emerald,Dragonfly,Alabama,Endangered,
Elimia,crenatella,,lacy(snail),Elimia,Alabama,Threatened,
Cyprogenia,stegaria,,,Fanshell,Alabama,Endangered,
Rana,sevosa,,dusky gopher,Frog,Alabama,Endangered,Entire
Potamilus,inflatus,,Alabama (=inflated),Heelsplitter,Alabama,Threatened,
Pleurocera,foremani,,rough,Hornsnail,Alabama,Endangered,
Ptychobranchus,greenii,,triangular,Kidneyshell,Alabama,Endangered,
Lampsilis,virescens,,Alabama,Lampmussel,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Toxolasma,cylindrellus,,pale (pearlymussel),Lilliput,Alabama,Endangered,
Lioplax,cyclostomaformis,,cylindrical (snail),Lioplax,Alabama,Endangered,
Quadrula,fragosa,,winged,Mapleleaf,Alabama,Endangered,Entire; except where listed as experimental populations 
Medionidus,acutissimus,,Alabama,Moccasinshell,Alabama,Threatened,
Medionidus,parvulus,,Coosa,Moccasinshell,Alabama,Endangered,
Medionidus,penicillatus,,Gulf,Moccasinshell,Alabama,Endangered,
Quadrula,intermedia,,Cumberland (pearlymussel),Monkeyface,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Peromyscus,polionotus,ammobates,Alabama beach,Mouse,Alabama,Endangered,
Peromyscus,polionotus,trissyllepsis,Perdido Key beach,Mouse,Alabama,Endangered,
Lampsilis,perovalis,,orangenacre,Mucket,Alabama,Threatened,
Lampsilis,abrupta,,pink (pearlymussel),Mucket,Alabama,Endangered,
Epioblasma,capsaeformis,,oyster,Mussel,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations
Leptodea,leptodon,,scaleshell,Mussel,Alabama,Endangered,
Plethobasus,cyphyus,,sheepnose,Mussel,Alabama,Endangered,
Epioblasma,triquetra,,snuffbox,Mussel,Alabama,Endangered,
Puma,concolor,coryi,Florida,Panther,Alabama,Endangered,
Conradilla,caelata,,birdwing,Pearlymussel,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Hemistena,lata,,cracking,Pearlymussel,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Dromus,dromas,,dromedary,Pearlymussel,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Pegias,fabula,,littlewing,Pearlymussel,Alabama,Endangered,
Lepyrium,showalteri,,flat,Pebblesnail,Alabama,Endangered,
Pleurobema,furvum,,dark,Pigtoe,Alabama,Endangered,
Fusconaia,cuneolus,,finerayed,Pigtoe,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Pleurobema,marshalli,,flat,Pigtoe,Alabama,Endangered,
Pleurobema,hanleyianum,,Georgia,Pigtoe,Alabama,Endangered,
Pleurobema,taitianum,,heavy,Pigtoe,Alabama,Endangered,
Pleurobema,pyriforme,,oval,Pigtoe,Alabama,Endangered,
Pleurobema,plenum,,rough,Pigtoe,Alabama,Endangered,
Fusconaia,cor,,shiny,Pigtoe,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Pleurobema,georgianum,,southern,Pigtoe,Alabama,Endangered,
Plethobasus,cooperianus,,orangefoot(pearlymussel),Pimpleback,Alabama,Endangered,
Charadrius,melodus,,piping,Plover,Alabama,Threatened,except Great Lakes watershed 
Lampsilis,altilis,,finelined,Pocketbook,Alabama,Threatened,
Lampsilis,subangulata,,shinyrayed,Pocketbook,Alabama,Endangered,
